,importance
device_os_windows,0.1376856963528791
employment_status_CB,0.1171276113981801
employment_status_CA,0.10397814542537577
housing_status_BA,0.09174626858072579
housing_status_BE,0.09121946437982094
device_os_other,0.06689513810817668
current_address_months_count,0.03700913640225733
employment_status_CG,0.03598562511337197
payment_type_AB,0.035598430189774856
payment_type_AD,0.03328761973396306
payment_type_AA,0.027576381620556423
device_os_linux,0.025109831596607454
payment_type_AE,0.024627633702424417
housing_status_BB,0.019336069484726725
device_os_macintosh,0.014055053062244915
housing_status_BG,0.012373316385721514
has_other_cards,0.011707432244640855
housing_status_BC,0.009489595049081975
proposed_credit_limit,0.009059000946414415
velocity_24h,0.008602683315514758
employment_status_CE,0.007842205010466608
payment_type_AC,0.007751463995667911
housing_status_BD,0.007672964739224759
device_distinct_emails_8w,0.007255865549537745
email_is_free,0.006712034160853281
source_TELEAPP,0.006423202035787688
housing_status_BF,0.005775714825610126
phone_home_valid,0.005490638958016627
foreign_request,0.0037409961236738974
income,0.0034150741508670586
employment_status_CC,0.003336471711769303
bank_months_count,0.0031767694679319274
bank_branch_count_8w,0.0031054711466354363
name_email_similarity,0.0029821650378670096
credit_risk_score,0.0027144628105179743
customer_age,0.002281404280983581
employment_status_CD,0.0018338614149091559
session_length_in_minutes,0.0016626742582579988
zip_count_4w,0.0011695972693478232
velocity_6h,0.0009840749065323671
keep_alive_session,0.0007676186842557187
days_since_request,0.0004988711543469135
velocity_4w,0.00044082739069655884
employment_status_CF,0.0003905515480634011
device_os_x11,8.539535762117251e-05
source_INTERNET,1.3962337990777958e-05
phone_mobile_valid,5.099449550097271e-06
date_of_birth_distinct_emails_4w,4.291305580345182e-07
