original_variable,auc_after_permutation,auc_drop,n_model_columns
housing_status,0.7795002238156538,0.050768966638956026,7
device_os,0.7856485510369198,0.04462063941769001,5
current_address_months_count,0.8004537480085967,0.029815442446013085,1
employment_status,0.8026870389884088,0.02758215146620102,7
email_is_free,0.8101765224330013,0.020092668021608473,1
has_other_cards,0.8153065579376708,0.014962632516938967,1
phone_home_valid,0.8173167283434029,0.01295246211120693,1
payment_type,0.8191395747780611,0.011129615676548688,5
keep_alive_session,0.8213120462867454,0.008957144167864417,1
name_email_similarity,0.8242810790972861,0.005988111357323689,1
income,0.8244124491549221,0.005856741299687718,1
bank_months_count,0.8250884141340281,0.00518077632058167,1
customer_age,0.825921119578726,0.004348070875883736,1
velocity_4w,0.8266943957116364,0.0035747947429733973,1
session_length_in_minutes,0.8277484840312397,0.0025207064233701004,1
device_distinct_emails_8w,0.8280098339871717,0.002259356467438134,1
velocity_24h,0.8291852137091954,0.0010839767454143834,1
zip_count_4w,0.8294823602681338,0.0007868301864759619,1
bank_branch_count_8w,0.8296540449466318,0.0006151455079780321,1
phone_mobile_valid,0.830028692888779,0.0002404975658307773,1
date_of_birth_distinct_emails_4w,0.8301037614931424,0.0001654289614674287,1
credit_risk_score,0.8304843176124848,-0.0002151271578749725,1
foreign_request,0.8305910123418346,-0.00032182188722484906,1
velocity_6h,0.8307164742222752,-0.00044728376766545175,1
source,0.8311672333882909,-0.0008980429336811202,2
proposed_credit_limit,0.832918139077101,-0.0026489486224912095,1
days_since_request,0.8332733247884871,-0.003004134333877362,1
