method,metric,mean,ci95_low,ci95_high,higher_is_better,n
TabNet_native,one_hot_aware_fidelity,0.0369,-0.0633,0.1366,True,50
SHAP_Kernel,one_hot_aware_fidelity,0.5392,0.4873,0.585,True,50
SHAP_Gradient,one_hot_aware_fidelity,0.2888,0.1975,0.3733,True,50
LIME,one_hot_aware_fidelity,0.1557,0.0659,0.2451,True,50
Integrated_Gradients,one_hot_aware_fidelity,0.3955,0.3125,0.4745,True,50
SHAP_Kernel_Logit,logit_one_hot_aware_fidelity,0.5565,0.5055,0.6056,True,50
Integrated_Gradients_Logit,logit_one_hot_aware_fidelity,0.4514,0.3703,0.523,True,50
TabNet_native,relative_max_sensitivity,9.8099,8.1386,11.5955,False,100
SHAP_Gradient,relative_max_sensitivity,13.8089,10.9681,17.2134,False,100
Integrated_Gradients,relative_max_sensitivity,10.5846,8.9128,12.5225,False,100
SHAP_Kernel,relative_max_sensitivity,12.9982,9.4514,16.828,False,25
LIME,relative_max_sensitivity,1.1472,1.0949,1.1966,False,25
TabNet_native,nearest_neighbor_cosine_stability,0.6596,0.6207,0.7012,True,200
SHAP_Kernel,nearest_neighbor_cosine_stability,0.3414,0.264,0.4107,True,100
SHAP_Gradient,nearest_neighbor_cosine_stability,0.1662,0.0904,0.235,True,200
LIME,nearest_neighbor_cosine_stability,0.948,0.9458,0.9499,True,100
Integrated_Gradients,nearest_neighbor_cosine_stability,0.2631,0.1951,0.3366,True,200
