Balanced_SHAP_Kernel_top10,Population_TabNet_native_top10,Population_SHAP_Gradient_top10,Population_IG_top10
device_os_windows,employment_status_CA,device_os_windows,employment_status_CB
housing_status_BA,housing_status_BE,device_os_other,device_os_other
current_address_months_count,device_os_windows,housing_status_BA,device_os_windows
phone_home_valid,employment_status_CB,employment_status_CB,housing_status_BA
email_is_free,housing_status_BA,employment_status_CA,current_address_months_count
payment_type_AC,device_os_other,housing_status_BE,employment_status_CA
name_email_similarity,payment_type_AD,current_address_months_count,housing_status_BE
keep_alive_session,device_os_linux,payment_type_AD,has_other_cards
velocity_4w,housing_status_BB,device_os_linux,phone_home_valid
has_other_cards,current_address_months_count,email_is_free,payment_type_AD
